entity,adjective,adjective_score,quality_usage_count,actions_as_subject,actions_as_object
Alexander_the_Great,bold,556,13,impress|rescue,are_impressed_by|underestimate|are_rescued_by|admire|look_up_to
Alexander_the_Great,ambitious,527,23,upstage|are_underestimated_by|blackmail|compete_with|take_advantage_of,are_upstaged_by|are_usurped_by|underestimate|cede_power_to|are_used_by
Alexander_the_Great,daring,515,22,impress|rescue,are_impressed_by|underestimate|are_rescued_by|admire|look_up_to
Alexander_the_Great,brilliant,468,40,impress|are_underestimated_by|upstage|trick|lay_a_trap_for,are_impressed_by|are_deceived_by|are_tricked_by
Alexander_the_Great,ruthless,462,49,betray|spread_lies_about|exploit|manipulate|steal_from|cheat,are_betrayed_by|are_exploited_by|are_manipulated_by|are_cheated_by|are_pushed_too_far_by
Alexander_the_Great,strategic,338,35,are_underestimated_by|counsel,underestimate|are_trained_by
Alexander_the_Great,handsome,326,41,charm|seduce|pose_for,are_seduced_by|are_charmed_by|fall_in_love_with|cheat_with
Alexander_the_Great,athletic,326,25,impress|play_with|pursue|are_fielded_by|are_trained_by,are_impressed_by|are_pursued_by|look_up_to
Alexander_the_Great,tactical,322,14,campaign_for|fight_for|counsel|advise|play_with,are_counseled_by|seek_advice_from|confer_with
Alexander_the_Great,megalomaniacal,294,11,rule_over|dominate|coerce|command|punish|round_up|lose_control_over|subjugate|assassinate,work_for|are_hired_by|stand_up_to|are_pushed_too_far_by|sweat_for|labor_for|are_dominated_by|are_banished_by|cede_power_to
Alexander_the_Great,shrill,294,2,,
Alexander_the_Great,aggressive,272,31,overwork|attack|bully|taunt|mock|intimidate,are_pushed_too_far_by|are_intimidated_by|are_attacked_by|are_taunted_by
Alexander_the_Great,brave,263,43,rise_against|stand_up_to|attack|defend|protect|die_for,are_toppled_by|fear|are_defeated_by|are_defended_by|are_protected_by
Alexander_the_Great,intelligent,250,61,are_underestimated_by,underestimate
Alexander_the_Great,innovative,240,17,impress|create_for|inspire,are_impressed_by|are_inspired_by
Alexander_the_Great,powerful,239,43,kill|fire|punish|are_obeyed_by|attack|cede_power_to|appoint|are_feared_by|govern|incarcerate,rise_against|are_killed_by|are_banished_by|serve|obey|cede_power_to|are_governed_by|are_disillusioned_by|rebel_against|bow_down_to|are_ruled_by|are_appointed_by
Alexander_the_Great,successful,238,16,defeat,are_defeated_by|are_beaten_by|lose_to
Alexander_the_Great,exciting,226,1,,
Alexander_the_Great,determined,221,26,impress|are_underestimated_by|overcome|rebuff,are_impressed_by|underestimate|are_rebuffed_by
Alexander_the_Great,smart,221,23,impress|are_underestimated_by|upstage|trick|lay_a_trap_for,are_impressed_by|are_deceived_by|are_tricked_by
Alexander_the_Great,talented,220,21,impress|are_underestimated_by|overcome|work_for|are_hired_by|are_recruited_by|upstage|are_chosen_by|are_copied_by|are_imitated_by,are_impressed_by|underestimate|hire|recruit|are_upstaged_by|look_up_to|imitate|copy|mimic|sign_up|recruit
