Entity URI,Role
http://dbpedia.org/resource/Hor-Aha,causal agent
http://dbpedia.org/resource/Hor-Aha,holder
http://dbpedia.org/resource/Hor-Aha,living thing
http://dbpedia.org/resource/Hor-Aha,object
http://dbpedia.org/resource/Hor-Aha,officeholder
http://dbpedia.org/resource/Hor-Aha,official
http://dbpedia.org/resource/Hor-Aha,organism
http://dbpedia.org/resource/Hor-Aha,owner
http://dbpedia.org/resource/Hor-Aha,person
http://dbpedia.org/resource/Hor-Aha,physical entity
http://dbpedia.org/resource/Hor-Aha,worker
http://dbpedia.org/resource/Hor-Aha,yago legal actor
http://dbpedia.org/resource/Hor-Aha,yago legal actor geo
http://dbpedia.org/resource/Hor-Aha,skilled worker
http://dbpedia.org/resource/Hor-Aha,whole
http://dbpedia.org/resource/Hor-Aha,person
http://dbpedia.org/resource/Hor-Aha,animal
http://dbpedia.org/resource/Hor-Aha,eukaryote
http://dbpedia.org/resource/Hor-Aha,species
http://dbpedia.org/resource/Hor-Aha,pharaoh
http://dbpedia.org/resource/Hor-Aha,royalty
http://dbpedia.org/resource/Hermes,characters in the iliad
http://dbpedia.org/resource/Hermes,characters in the odyssey
http://dbpedia.org/resource/Hermes,lgbtthemes in mythology
http://dbpedia.org/resource/Hermes,trickster deities
http://dbpedia.org/resource/Hermes,ability
http://dbpedia.org/resource/Hermes,abstraction
http://dbpedia.org/resource/Hermes,belief
http://dbpedia.org/resource/Hermes,cognition
http://dbpedia.org/resource/Hermes,communication
http://dbpedia.org/resource/Hermes,content
http://dbpedia.org/resource/Hermes,creativity
http://dbpedia.org/resource/Hermes,defamation
http://dbpedia.org/resource/Hermes,deity
http://dbpedia.org/resource/Hermes,disparagement
http://dbpedia.org/resource/Hermes,disrespect
http://dbpedia.org/resource/Hermes,fictional character
http://dbpedia.org/resource/Hermes,imaginary being
http://dbpedia.org/resource/Hermes,imagination
http://dbpedia.org/resource/Hermes,message
http://dbpedia.org/resource/Hermes,name
http://dbpedia.org/resource/Hermes,psychological feature
http://dbpedia.org/resource/Hermes,spiritual being
http://dbpedia.org/resource/Hermes,subject
http://dbpedia.org/resource/Hermes,deities in the iliad
http://dbpedia.org/resource/Hermes,epithets of hermes
http://dbpedia.org/resource/Hermes,person
http://dbpedia.org/resource/Hermes,agent
http://dbpedia.org/resource/Hermes,deity
http://dbpedia.org/resource/Djer,causal agent
http://dbpedia.org/resource/Djer,holder
http://dbpedia.org/resource/Djer,living thing
http://dbpedia.org/resource/Djer,object
